instance_id,num_customers,num_charging_stations,total_distance,total_energy,total_time,num_vehicles,charging_stops,computation_time,max_time
c20_17,20,10,581.9925048726682,156.44484081773462,27.597882013088544,2,2,0.0005979537963867188,14.213823551915294
c20_3,20,10,619.6629604952601,164.56229230405938,27.059245692537676,3,1,0.0007863044738769531,14.659851741289563
c20_2,20,10,528.5150665043243,142.77606319547965,25.458784478354787,2,2,0.0005340576171875,13.467106490687335
c20_16,20,10,628.6371802937767,165.94936538668284,27.19094175720561,3,1,0.0005931854248046875,15.17171209470936
c20_20,20,10,604.6851467552818,159.7199159147799,28.50558768839309,3,2,0.000576019287109375,12.153871031534473
c20_9,20,10,651.1956554990122,173.15716709090017,30.366008038142304,3,2,0.0010139942169189453,14.11354299222935
c20_5,20,10,580.082241260281,155.7092035787374,27.521471468593056,2,2,0.0005028247833251953,14.775828738844245
c20_4,20,10,654.2981128531319,172.5085637573483,30.490106332307096,3,2,0.001172780990600586,13.989935338723253
c20_10,20,10,503.88967296157534,134.94276835631268,22.201041463917562,2,1,0.0004937648773193359,13.709583036134154
c20_11,20,10,588.1649082172378,158.47647263057976,27.844778146871334,2,2,0.0014891624450683594,15.262911807811939
c20_8,20,10,585.1210938943481,153.73359269140727,25.450298301228468,3,1,0.0005130767822265625,12.343749919429486
c20_13,20,10,606.0086349529255,161.01348388499522,26.5130726708443,3,1,0.0005559921264648438,14.919794501384784
c20_12,20,10,575.0187203381648,154.50177899598626,27.318930631708415,2,2,0.0005671977996826172,14.496598590601788
c20_7,20,10,554.9333170432051,148.5561906357056,26.51551449991002,2,2,0.0005357265472412109,15.05188544933146
c20_6,20,10,532.4897352050826,140.77494806279373,23.345043953657854,3,1,0.0005321502685546875,12.152491682787632
c20_15,20,10,579.9932956672502,152.5908047605357,25.47245909941728,3,1,0.0006699562072753906,11.871029188641202
c20_1,20,10,682.6953645784603,178.66709612129898,29.353269128592956,3,1,0.0005791187286376953,12.77368164459206
c20_19,20,10,553.4800259514884,148.18366740571832,24.184655583514086,2,1,0.00055694580078125,15.7115544236962
c20_14,20,10,585.2927917294328,157.44718198623332,27.72989348735913,2,2,0.00048828125,14.184036473041854
c20_18,20,10,510.5024471721331,138.3904115191748,24.73827970506714,2,2,0.0005791187286376953,13.250850012918338
c50_7,50,10,1147.7060842589021,300.03010970923094,47.72642518853792,6,1,0.001667022705078125,11.84726666385772
c50_11,50,10,1118.9587451714683,294.02305672084947,47.03107707958601,6,1,0.0018198490142822266,12.380157126569316
c50_10,50,10,1069.1673737689077,281.19723811958727,42.76669495075631,6,0,0.001981973648071289,8.006327356016008
c50_20,50,10,1152.3926029181034,304.4699255553503,48.14115866217868,6,1,0.0016090869903564453,14.962061155012119
c50_16,50,10,1236.0832274960082,323.29829798687626,53.30696546347669,6,2,0.0017480850219726562,14.433486735231817
c50_1,50,10,1096.4493449565853,288.81329742332423,45.903428343717955,6,1,0.001935720443725586,12.324639384782621
c50_6,50,10,1146.348144662654,301.7057730695273,47.67210760468798,6,1,0.0017981529235839844,12.470675928136485
c50_17,50,10,1226.077629471654,324.0474003484914,53.36128699704798,6,2,0.0016398429870605469,13.257541962341922
c50_18,50,10,1244.208715833997,326.4756485480212,53.63198499699625,6,2,0.0015032291412353516,15.372240037836075
c50_14,50,10,1175.5406544343734,308.6970789828359,48.83980799555675,6,1,0.0022592544555664062,12.887083193908436
c50_3,50,10,1130.2168386147043,296.41182125385535,47.026855362769986,6,1,0.011324882507324219,14.127703729082086
c50_2,50,10,1146.4282805320356,302.8092367311831,47.90258576673597,6,1,0.0019419193267822266,13.103712992714641
c50_15,50,10,1235.391682296628,323.56981106591104,51.23384911004695,6,1,0.0019230842590332031,12.817250031295083
c40_6,40,10,943.3555393227093,253.83774025513253,42.052403391090195,4,2,0.001199960708618164,14.557851235150629
c40_10,40,10,950.0437027990766,251.75755071412237,40.047202657417614,5,1,0.0011820793151855469,11.890479501144059
c40_11,40,10,1036.0860698082788,277.08138677065733,45.76162461051297,5,2,0.0015017986297607422,13.023732760855674
c50_8,50,10,1372.5801235291208,358.8484263356218,61.03956857752847,6,3,0.0016887187957763672,15.315631427804519
c50_19,50,10,1149.4967819877952,303.0225405479274,50.29805309769364,6,2,0.0016567707061767578,12.50542644393957
c50_5,50,10,1187.0621217293024,308.98440395778414,49.30066668735391,6,1,0.0020339488983154297,13.96535551515796
c50_12,50,10,1209.918873872205,318.1548242878125,52.26039131852457,6,2,0.0023081302642822266,12.10103251223118
c50_13,50,10,1193.624913264693,314.60181680214555,51.83590562149682,6,2,0.0017290115356445312,12.88938580594793
c40_7,40,10,944.6369751066397,252.91952539385872,40.05820627699286,5,1,0.0010881423950195312,13.095521228921923
c40_20,40,10,990.7484149409901,262.71418488026825,41.675391143094146,5,1,0.0010180473327636719,12.082307617755868
c50_9,50,10,1030.1655648342376,271.5556148749354,41.2066225933695,6,0,0.0016329288482666016,8.956062467010955
c50_4,50,10,1331.1349328478382,346.6337441077555,57.1090336775499,6,2,0.001779794692993164,12.983413463100229
c40_16,40,10,1049.7216235597173,279.05791580631814,44.03431948784323,5,1,0.001155853271484375,14.763717116558364
c40_17,40,10,962.2155207356741,256.31964299476635,42.57952992033606,5,2,0.0011949539184570312,13.25999327526122
c40_1,40,10,1018.5166649077995,269.82445144583784,44.83157568722106,5,2,0.002986907958984375,12.580997876774166
c40_14,40,10,1012.0667345031466,267.40300952948195,42.52812392558041,5,1,0.0012080669403076172,13.385330204059397
c30_2,30,10,776.1927397837487,199.83968319372872,32.86589140953177,4,1,0.0007748603820800781,12.313733904801254
c40_18,40,10,946.3852052813388,255.1561019564002,39.900862756708094,4,1,0.001386880874633789,16.808237580126242
c40_2,40,10,1045.5909222753635,276.9300992290455,43.869091436469084,5,1,0.001123189926147461,15.837244009826989
c40_15,40,10,997.7055013146272,266.40610498320075,44.22640187076691,5,2,0.0014719963073730469,12.696059474761682
c40_3,40,10,960.215831069004,256.5246616126508,42.49954233366925,4,2,0.0011420249938964844,13.893495154488498
c40_8,40,10,916.8142997749405,243.168546704509,38.71802653645217,5,1,0.0014362335205078125,13.375851961272353
c40_4,40,10,940.6118532936138,250.66717240797047,39.66992867719909,5,1,0.0011210441589355469,12.463202749776624
c30_17,30,10,790.0788941033275,202.14904152252592,33.42133758231491,4,1,0.0008637905120849609,13.929795623931915
c40_12,40,10,1021.4574736433628,272.04416213572904,42.90375349118906,5,1,0.0011539459228515625,14.218480256347444
c40_19,40,10,1106.413421955136,294.4663281731188,48.57471869638725,5,2,0.0017058849334716797,16.966309729826147
c30_20,30,10,813.3986243686386,208.62812215118075,34.35412679292736,4,1,0.0007648468017578125,13.10326564043266
c40_5,40,10,1055.997386824867,280.43884888602685,44.285350018449215,5,1,0.0011620521545410156,16.812586155306107
c40_9,40,10,1031.1979121365925,274.59746799150037,43.29337103091826,5,1,0.0011529922485351562,15.789854261266845
c40_13,40,10,902.65469190911,242.6900614425732,42.469824040000766,4,3,0.0015017986297607422,12.097300423703054
c30_8,30,10,781.5343520575033,201.75272060099644,33.30682862775468,4,1,0.0015978813171386719,12.191443048171742
c30_16,30,10,901.95364023628,232.44455578962217,42.21450924581483,4,3,0.002276182174682617,13.142373001516741
c30_10,30,10,785.7955025431816,201.03249927882422,31.43182010172726,4,0,0.0006036758422851562,8.539428942042164
c30_4,30,10,850.8589604590125,217.5948260027471,36.079812963815044,4,1,0.0016639232635498047,12.092204399467677
c30_11,30,10,704.8233839881968,183.42735161099998,28.192935359527873,4,0,0.0006189346313476562,9.390799076565436
c30_13,30,10,817.9299988460954,209.1367784110013,34.76265449929836,4,1,0.0007600784301757812,12.06654523410466
c30_3,30,10,842.7291495202778,217.0455754388428,38.027347798992935,4,2,0.0008268356323242188,11.995402572659854
c30_5,30,10,751.7388320123484,194.00419716765666,30.06955328049394,4,0,0.0007162094116210938,8.472116141812812
c30_7,30,10,859.3137479396139,219.1573242849284,36.4180044630391,4,1,0.0007770061492919922,13.26262547849258
c30_9,30,10,821.3813880303019,212.84051106420202,36.94616461212116,4,2,0.0009379386901855469,13.121263327985048
c30_6,30,10,883.3077244243536,225.90101112050206,39.195945340610514,4,2,0.0008931159973144531,13.35230079291662
c30_12,30,10,820.0160549172297,208.30039802574004,34.391551287598276,4,1,0.0005087852478027344,12.31797661688815
c30_15,30,10,796.8196819748134,204.51829264427334,31.87278727899254,4,0,0.00037932395935058594,8.841553213301687
c30_19,30,10,767.7070627144963,197.88734571037773,32.753737054034396,4,1,0.0004112720489501953,13.0556916148849
c30_18,30,10,750.2969845486463,190.07989964165546,30.01187938194585,4,0,0.00040602684020996094,8.24241413093392
c30_14,30,10,879.1021490070875,223.29885207004259,36.754995051192594,4,1,0.0004220008850097656,14.117318031334584
c30_1,30,10,789.9178541503511,200.85902937743703,31.596714166014046,4,0,0.00037384033203125,8.881128942594016
